,algoName,symbol,quantity,lastTradedTime,lastTradedSide
0,DRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:34:01.336045,SELL
1,DRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 14:48:01.236836,SELL
2,DRB_N,NIFTY09SEP2524750CE,-75,2025-09-08 15:12:00.858405,SELL
3,DRB_N,NIFTY09SEP2524050PE,75,2025-09-08 15:20:03.748359,BUY
4,GRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 09:18:00.775140,SELL
5,GRB_N,NIFTY09SEP2524850PE,-75,2025-09-08 09:32:01.124048,SELL
6,GRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:38:01.622435,SELL
7,GRB_N,NIFTY09SEP2524450PE,150,2025-09-08 15:20:03.888473,BUY
8,MagicReversal50,NIFTY09SEP2524850PE,-75,2025-09-08 09:16:01.055082,SELL
9,MagicReversal50,NIFTY09SEP2524050PE,75,2025-09-08 15:21:00.472698,BUY
10,MagicTrend,NIFTY09SEP2524800CE,-75,2025-09-05 15:20:01.333511,SELL
11,MagicTrend,NIFTY09SEP2524750CE,-75,2025-09-08 15:20:03.731098,SELL
